text,Camelbert-MSA,EnsembleXAI_LIME_SHAP_mean,EXAI_LIME_SHAP_mean_elbow_simple-lmethod_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_simple-lmethod_sufficiency,EXAI_LIME_SHAP_mean_elbow_simple-lmethod_combined,EXAI_LIME_SHAP_mean_elbow_kneedle_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_kneedle_sufficiency,EXAI_LIME_SHAP_mean_elbow_kneedle_combined,EXAI_LIME_SHAP_mean_elbow_dfdt_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_dfdt_sufficiency,EXAI_LIME_SHAP_mean_elbow_dfdt_combined,EXAI_LIME_SHAP_mean_elbow_lmethod_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_lmethod_sufficiency,EXAI_LIME_SHAP_mean_elbow_lmethod_combined,EXAI_LIME_SHAP_mean_top_n_3_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_3_sufficiency,EXAI_LIME_SHAP_mean_top_n_3_combined,EXAI_LIME_SHAP_mean_top_n_5_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_5_sufficiency,EXAI_LIME_SHAP_mean_top_n_5_combined,EXAI_LIME_SHAP_mean_top_n_10_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_10_sufficiency,EXAI_LIME_SHAP_mean_top_n_10_combined,EXAI_LIME_SHAP_mean_top_n_20_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_20_sufficiency,EXAI_LIME_SHAP_mean_top_n_20_combined,EXAI_LIME_SHAP_mean_threshold_0.1_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.1_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.1_combined,EXAI_LIME_SHAP_mean_threshold_0.3_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.3_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.3_combined,EXAI_LIME_SHAP_mean_threshold_0.5_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.5_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.5_combined,EXAI_LIME_SHAP_mean_threshold_0.7_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.7_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.7_combined,nb_selected_tokens_elbow_simple-lmethod,nb_selected_tokens_elbow_kneedle,nb_selected_tokens_elbow_dfdt,nb_selected_tokens_elbow_lmethod,nb_selected_tokens_top_n_3,nb_selected_tokens_top_n_5,nb_selected_tokens_top_n_10,nb_selected_tokens_top_n_20,nb_selected_tokens_threshold_0.1,nb_selected_tokens_threshold_0.3,nb_selected_tokens_threshold_0.5,nb_selected_tokens_threshold_0.7,%_tokens_input_elbow_simple-lmethod,%_tokens_input_elbow_kneedle,%_tokens_input_elbow_dfdt,%_tokens_input_elbow_lmethod,%_tokens_input_top_n_3,%_tokens_input_top_n_5,%_tokens_input_top_n_10,%_tokens_input_top_n_20,%_tokens_input_threshold_0.1,%_tokens_input_threshold_0.3,%_tokens_input_threshold_0.5,%_tokens_input_threshold_0.7
: وصلنا لاقتصاد اسوء من سوريا والعراق ومن غير حربانجاز ده ولا مش انجاز يا متعلمين يا بتوع المدا…,negative,"[[0, ':', -0.7185945804445824], [1, 'وصلنا', -0.3954300249576148], [2, 'لاقت', -0.15441767281767443], [3, '##صاد', 0.2992585237286639], [4, 'اسوء', 1.0], [5, 'من', -0.32285209871712617], [6, 'سوريا', -0.6439169810971413], [7, 'والعراق', -0.2645922952309232], [8, 'ومن', -0.588816043437637], [9, 'غير', -0.3069068609397931], [10, 'حربا', -0.8413800501821356], [11, '##نجاز', -0.7272528784023966], [12, 'ده', -0.8343206257091659], [13, 'ولا', -0.4635071300619383], [14, 'مش', -0.27617018610674504], [15, 'انجاز', -0.9318006457985354], [16, 'يا', -0.5130260729203437], [17, 'متع', -0.6473427923108528], [18, '##لمين', -0.21530423306258062], [19, 'يا', -0.5640337553676364], [20, 'بتو', -0.04691856881035039], [21, '##ع', -0.4556554306700533], [22, 'المدا', -0.23072321633025517], [23, '[UNK]', -0.45791284727248105]]",0.6260916590690613,0.7397569119930267,0.4431673735380173,0.6260916590690613,0.7397569119930267,0.4431673735380173,0.3498244881629944,0.7681964784860611,0.2908140048384666,0.5658346712589264,0.7472081631422043,0.409313254058361,0.5658346712589264,0.7472081631422043,0.409313254058361,0.7155777513980865,0.6725786924362183,0.5214995294809341,0.5811722278594971,0.3487409353256225,0.6162156462669373,0.768314778804779,-0.0003862380981445,0.8843505084514618,0.3498244881629944,0.7681964784860611,0.2908140048384666,0.1603206992149353,0.8059558272361755,0.1771824359893798,0.1603206992149353,0.8059558272361755,0.1771824359893798,0.1603206992149353,0.8059558272361755,0.1771824359893798,4,4,2,3,3,5,10,20,2,1,1,1,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.125,0.125,0.20833333333333334,0.4166666666666667,0.8333333333333334,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664
كاني ويست، دريك، نيكي، بيونسيه، قاقا,neutral,"[[0, 'كاني', 0.11136199955043297], [1, 'ويست', 0.12021043869192533], [2, '،', 0.1066994866738093], [3, 'دريك', 0.19434593980857817], [4, '،', 0.07289400672983093], [5, 'نيك', 0.28318038735853057], [6, '##ي', 0.002030539523002084], [7, '،', 0.16259270017496896], [8, 'بي', 1.0], [9, '##ونس', -0.7382427211331295], [10, '##يه', -1.0], [11, '،', 0.04497827169941043], [12, 'قا', -0.4153646366284113], [13, '##قا', -0.40339651815350347]]",0.3408576250076294,-0.0130574703216552,0.6769575476646423,0.3462080955505371,0.2573316097259521,0.5444382429122925,0.4950039386749267,0.0011769533157348,0.746913492679596,0.6245026886463165,0.2278249859809875,0.6983388513326645,0.3462080955505371,0.2573316097259521,0.5444382429122925,0.6327506899833679,0.1776662468910217,0.7275422215461731,0.4989920258522033,0.0172102451324462,0.7408908903598785,0.2531930208206177,0.0,0.6265965104103088,0.4028248190879822,0.1269558668136596,0.6379344761371613,0.2285555005073547,0.2213393449783325,0.5036080777645111,0.2285555005073547,0.2213393449783325,0.5036080777645111,0.2285555005073547,0.2213393449783325,0.5036080777645111,13,3,11,4,3,5,10,14,7,1,1,1,0.9285714285714286,0.21428571428571427,0.7857142857142857,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.7142857142857143,1.0,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857142
على فكره شركة محترمه حداعطوني كيبل كهديه ويوم قتله انه شحنه بيكلفني اكثر من قيمته قال دش امازون واختار اي شي قيمته ٣٠ دولار,positive,"[[0, 'على', -0.3531498624685334], [1, 'فكره', -0.08178442188251722], [2, 'شركة', -0.3439748647085711], [3, 'محترم', 1.0], [4, '##ه', 0.17990992669052813], [5, 'حدا', -0.18462457594836673], [6, '##عط', -0.35823284275095085], [7, '##وني', -0.7248184467158358], [8, 'كيب', -0.763897795227609], [9, '##ل', -0.7565932466608648], [10, 'كه', 0.0008480881009421681], [11, '##ديه', 0.07037415856692475], [12, 'ويوم', -0.22777421340133963], [13, 'قتله', -0.9035131659558377], [14, 'انه', -0.6208509244752991], [15, 'شحن', -0.6065638945315278], [16, '##ه', -0.5719296534164966], [17, 'بيك', -0.5458070504560546], [18, '##لف', -0.2704340792457212], [19, '##ني', -0.3572529986344362], [20, 'اكثر', -0.18522887006595928], [21, 'من', -0.613104332253549], [22, 'قيمته', -0.303785592620368], [23, 'قال', -0.7132388165783039], [24, 'دش', -0.6975709291930383], [25, 'اما', -0.6218041801158466], [26, '##زون', -0.3221488577300102], [27, 'واخت', -0.5805704175483806], [28, '##ار', -0.5234169227545831], [29, 'اي', -0.5429842901785156], [30, 'شي', -0.4437056532299794], [31, 'قيمته', -0.26125744332668155], [32, '٣', -0.46092988386755135], [33, '##٠', -0.7273072118659097], [34, 'دولار', -0.4168108891612651]]",0.8911205120384693,0.9086499102413654,0.4912353008985519,0.916130643337965,0.901355218142271,0.507387712597847,0.9162328876554966,0.0234819054603576,0.9463754910975696,0.2534112334251404,0.9074199348688126,0.1729956492781639,0.7813483625650406,0.9127999655902386,0.434274198487401,0.8911205120384693,0.9086499102413654,0.4912353008985519,0.9366590762510896,0.8518635109066963,0.5423977826721966,0.9066714346408844,0.3932767510414123,0.756697341799736,0.2534112334251404,0.9074199348688126,0.1729956492781639,0.4082050919532776,0.9077398590743542,0.2502326164394617,0.4082050919532776,0.9077398590743542,0.2502326164394617,0.4082050919532776,0.9077398590743542,0.2502326164394617,5,6,33,2,3,5,10,20,2,1,1,1,0.14285714285714285,0.17142857142857143,0.9428571428571428,0.05714285714285714,0.08571428571428572,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857
: المتعه افضل من الزواج لهتك اعراض عامة #الشيعهعبث باسم الاسلام,negative,"[[0, ':', -0.4755266516814885], [1, 'المتعه', -0.06598511870967239], [2, 'افضل', -1.0], [3, 'من', -0.1324362541779472], [4, 'الزواج', -0.04231847919267234], [5, 'له', 0.3087102356200918], [6, '##تك', 0.47292002132173794], [7, 'اعراض', 0.8427004419760364], [8, 'عامة', -0.29176041606769476], [9, '#', -0.580228437610421], [10, 'الشيعه', 0.29151429480241553], [11, '##عب', 0.22286172995158188], [12, '##ث', 0.023014524123878444], [13, 'باسم', 0.5759595686815011], [14, 'الاسلام', 0.16051247795676704]]",0.7448048144578934,-0.0030289888381958,0.8739169016480446,0.7388336956501007,-0.0082218647003173,0.873527780175209,0.7238598763942719,-0.0051366686820983,0.8644982725381851,0.2305702567100525,0.6371713876724243,0.2966994345188141,0.2305702567100525,0.6371713876724243,0.2966994345188141,0.3866291046142578,0.3420024514198303,0.5223133265972137,0.7472412586212158,0.0682197213172912,0.8395107686519623,0.7491296529769897,0.0,0.8745648264884949,0.8131261169910431,0.2316244840621948,0.7907508164644241,0.2009353637695312,0.4593828320503235,0.3707762658596039,0.020644187927246,0.6715220212936401,0.1745610833168029,0.0001901984214782,0.7056386470794678,0.1472757756710052,14,11,13,3,3,5,10,15,7,4,2,1,0.9333333333333333,0.7333333333333333,0.8666666666666667,0.2,0.2,0.3333333333333333,0.6666666666666666,1.0,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667
القوات البرية السعودية والقوات الفرنسية الخاصة تؤديان التمرين المشترك «سانتول»,neutral,"[[0, 'القوات', 0.40402026780699013], [1, 'البرية', 0.20252799739141647], [2, 'السعودية', -0.4086632376640519], [3, 'والقوات', -0.6100165594934407], [4, 'الفرنسية', -0.653589011590784], [5, 'الخاصة', 0.15601195935127898], [6, 'تؤدي', -0.3520548710502581], [7, '##ان', -0.807406546929886], [8, 'التمر', 0.09708638758199645], [9, '##ين', 0.3092125193205567], [10, 'المشترك', 0.3482076244962876], [11, '«', -0.190352208741712], [12, 'سانت', 0.8803476875505828], [13, '##ول', -0.7715799462407797], [14, '»', -0.6767342358233928]]",0.0005444288253784,0.2533040642738342,0.3736201822757721,0.3890873789787292,0.0033292174339294,0.6928790807723999,0.4821550250053406,0.1588684320449829,0.6616432964801788,0.0030494928359985,0.2830031514167785,0.36002317070961,0.0030494928359985,0.2830031514167785,0.36002317070961,0.0696836113929748,0.2142905592918396,0.4276965260505676,0.4063897132873535,0.0106234550476074,0.697883129119873,0.7576258182525635,0.0,0.8788129091262817,0.652466744184494,0.1749339699745178,0.7387663871049881,0.0109907388687133,0.251678466796875,0.3796561360359192,0.0005444288253784,0.2533040642738342,0.3736201822757721,0.0005444288253784,0.2533040642738342,0.3736201822757721,1,11,8,3,3,5,10,15,6,4,1,1,0.06666666666666667,0.7333333333333333,0.5333333333333333,0.2,0.2,0.3333333333333333,0.6666666666666666,1.0,0.4,0.26666666666666666,0.06666666666666667,0.06666666666666667
اي علمي هاشم الي عنده بيونسيه افضل وحده وهي اغانيها,positive,"[[0, 'اي', -0.6826321258491367], [1, 'علمي', -0.6229462335498526], [2, 'هاشم', -0.8074325610861546], [3, 'الي', -0.5341314174812506], [4, 'عنده', -0.7325297172670053], [5, 'بي', 0.0677328585986593], [6, '##ونس', -0.7008801991765399], [7, '##يه', -0.9171534807141941], [8, 'افضل', 1.0], [9, 'وحده', -0.11000731634106775], [10, 'وهي', -0.1654108186887635], [11, 'اغاني', -0.1287225099184881], [12, '##ها', -0.5048799145141154]]",0.9244517385959624,0.5198976397514343,0.7022770494222641,0.8481784164905548,0.7750970125198364,0.5365407019853592,0.9164763875305652,0.2758952379226684,0.8202905748039484,0.8932975605130196,0.8605652302503586,0.5163661651313305,0.8481784164905548,0.7750970125198364,0.5365407019853592,0.9244517385959624,0.5198976397514343,0.7022770494222641,0.8886492401361465,-0.0192076563835144,0.9539284482598304,0.8923766687512398,0.0,0.94618833437562,0.5430934131145477,0.8742090091109276,0.3344422020018101,0.5430934131145477,0.8742090091109276,0.3344422020018101,0.5430934131145477,0.8742090091109276,0.3344422020018101,0.5430934131145477,0.8742090091109276,0.3344422020018101,5,3,7,2,3,5,10,13,1,1,1,1,0.38461538461538464,0.23076923076923078,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.7692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
: يحرقون حلب ثم يبكون اليمن .. #أحقر_الناس,negative,"[[0, ':', -0.6624816093999611], [1, 'يحرق', 1.0], [2, '##ون', -0.6585210763520054], [3, 'حلب', -0.5907956789572599], [4, 'ثم', -0.43030849795746684], [5, 'يبك', 0.0022812455895789285], [6, '##ون', -0.6193732389651745], [7, 'اليمن', -0.4992776531855368], [8, '.', -0.39623458905379116], [9, '.', -0.7286541420141274], [10, '#', -0.6357658639486552], [11, 'أحق', -0.6427361019998687], [12, '##ر', -0.5781058119675483], [13, '_', -0.8625851206140702], [14, 'الناس', -0.9258588327045308]]",0.0221995115280151,0.7342217564582825,0.1439888775348663,0.0252067446708679,0.5902955234050751,0.2174556106328964,0.0221995115280151,0.7342217564582825,0.1439888775348663,0.0221995115280151,0.7342217564582825,0.1439888775348663,0.0555233359336853,0.6398705542087555,0.2078263908624649,0.0798816680908203,0.4857411384582519,0.2970702648162842,0.7197005450725555,0.0010479688644409,0.8593262881040573,0.7585701942443848,0.0,0.8792850971221924,0.0005580186843872,0.7479768991470337,0.1262905597686767,0.0005580186843872,0.7479768991470337,0.1262905597686767,0.0005580186843872,0.7479768991470337,0.1262905597686767,0.0005580186843872,0.7479768991470337,0.1262905597686767,2,4,2,2,3,5,10,15,1,1,1,1,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.6666666666666666,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
اهيه الي مسويه اكونت غوتشي امس اتوقع!,neutral,"[[0, 'اه', -0.3421293533734254], [1, '##يه', -0.42932947798267845], [2, 'الي', -0.4844751266746835], [3, 'مسوي', -0.29770300377192355], [4, '##ه', -0.6006479713218031], [5, 'اكون', -0.003448661093270522], [6, '##ت', 0.19364881472985518], [7, 'غو', 1.0], [8, '##تش', 0.31318706704301613], [9, '##ي', -0.1725784408756067], [10, 'امس', -0.17787346043773072], [11, 'اتوقع', -0.3824049438680158], [12, '!', -0.5929714132045253]]",0.7882912904024124,0.1766330599784851,0.8058291152119637,0.7882912904024124,0.1766330599784851,0.8058291152119637,0.4948379695415497,0.135789155960083,0.6795244067907333,0.7882912904024124,0.1766330599784851,0.8058291152119637,0.719550609588623,0.1570114493370056,0.7812695801258087,0.6943222135305405,0.1081300973892211,0.7930960580706596,0.4087822437286377,0.3671796321868896,0.520801305770874,0.8018319681286812,0.0,0.9009159840643406,0.719550609588623,0.1570114493370056,0.7812695801258087,0.4948379695415497,0.135789155960083,0.6795244067907333,0.5035082399845123,0.1433091759681701,0.6800995320081711,0.5035082399845123,0.1433091759681701,0.6800995320081711,4,4,2,4,3,5,10,13,3,2,1,1,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.7692307692307693,1.0,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693
راح يشلخونكم الساحر ميسي والمجنون سواريز ونيمار11ي ططططححححااااالللبب🐸🐸🐸🐸🐸🐸وبتشوف👈🐸🐸🐸🐸😂😂😂,positive,"[[0, 'راح', 0.021883951966744086], [1, 'يش', -0.6447318327380532], [2, '##لخ', -0.600258902159053], [3, '##ونك', -0.3825279065427332], [4, '##م', -0.6153766480386094], [5, 'الساحر', 0.9068422887256864], [6, 'ميسي', 0.6514063810934043], [7, 'والمج', -0.46410733346193994], [8, '##نون', -0.1954928161039436], [9, 'سواريز', 0.09802161976978824], [10, 'وني', -0.09364730467726057], [11, '##مار', 0.14988826719664228], [12, '##11', -0.2992058813519155], [13, '##ي', -0.15705428610382455], [14, '[UNK]', 0.2529420127361796]]",0.50025924295187,0.477904349565506,0.511177446693182,0.4356675744056701,0.4432913213968277,0.4961881265044212,0.51655188575387,0.1225951313972473,0.6969783771783113,0.5387917160987854,0.4917993322014808,0.5234961919486523,0.50025924295187,0.477904349565506,0.511177446693182,0.5635130116716027,0.4184431135654449,0.5725349490530789,0.5143002308905125,-0.3121450543403625,0.9132226426154376,0.3386126160621643,0.0,0.6693063080310822,0.4356675744056701,0.4432913213968277,0.4961881265044212,0.5387917160987854,0.4917993322014808,0.5234961919486523,0.5387917160987854,0.4917993322014808,0.5234961919486523,0.4949067756533623,0.5012766569852829,0.4968150593340397,3,4,8,2,3,5,10,15,4,2,2,1,0.2,0.26666666666666666,0.5333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.6666666666666666,1.0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667
"#القرموطي لـ""#المملكة"":حذاري من محاولة الحديث عن #مصر وموقفكم في مصلحة لـ #إسرائيل#السعودية…",negative,"[[0, '#', -0.568695823444622], [1, 'القر', 0.13440981791057605], [2, '##مو', -0.1504102175378712], [3, '##طي', 0.23956374717099127], [4, '[UNK]', 0.5112012117537265], [5, '""', 0.03608207943808284], [6, '#', -0.1357534731931842], [7, 'المملكة', 0.12537414463958452], [8, '""', -0.08709436227132472], [9, ':', -0.4514070117712068], [10, 'حذ', 0.28694509336759977], [11, '##اري', 0.41914982903277753], [12, 'من', 0.4699589181521779], [13, 'محاولة', -0.08313272607914912], [14, 'الحديث', 0.021652166237782267], [15, 'عن', -0.35273362544401304], [16, '#', -0.664953672684405], [17, 'مصر', -0.5124495806524856], [18, 'ومو', -0.7231145946715603], [19, '##قف', -0.33811746854288977], [20, '##كم', -0.1828002727373762], [21, 'في', -0.30423227421005855], [22, 'مصلحة', -0.27922197931145076], [23, '[UNK]', -0.2787952412468668], [24, '#', -0.729627108262769], [25, 'إسرائيل', 0.6436364177180656], [26, '#', -0.20807437345369706], [27, 'السعودية', -0.5773809496592834], [28, '[UNK]', -0.40087892415586046]]",0.084730327129364,0.3978935778141022,0.3434183746576309,0.428031176328659,0.3715733885765075,0.5282288938760757,0.6815026104450226,0.051537811756134,0.8149823993444443,0.2423117160797119,0.482824444770813,0.3797436356544494,0.4489600360393524,0.6820144653320312,0.3834727853536606,0.65430848300457,0.6341685950756073,0.5100699439644814,0.084730327129364,0.3978935778141022,0.3434183746576309,0.6572064161300659,-0.029738426208496,0.843472421169281,0.2423117160797119,0.482824444770813,0.3797436356544494,0.620608925819397,0.6551657319068909,0.482721596956253,0.4097143113613128,0.7005247920751572,0.3545947596430778,0.0,0.7455059289932251,0.1272470355033874,10,11,16,8,3,5,10,20,8,4,2,0,0.3448275862068966,0.3793103448275862,0.5517241379310345,0.27586206896551724,0.10344827586206896,0.1724137931034483,0.3448275862068966,0.6896551724137931,0.27586206896551724,0.13793103448275862,0.06896551724137931,0.0
