text,AraBert,EnsembleXAI_LIME_SHAP_mean,EXAI_LIME_SHAP_mean_elbow_simple-lmethod_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_simple-lmethod_sufficiency,EXAI_LIME_SHAP_mean_elbow_simple-lmethod_combined,EXAI_LIME_SHAP_mean_elbow_kneedle_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_kneedle_sufficiency,EXAI_LIME_SHAP_mean_elbow_kneedle_combined,EXAI_LIME_SHAP_mean_elbow_dfdt_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_dfdt_sufficiency,EXAI_LIME_SHAP_mean_elbow_dfdt_combined,EXAI_LIME_SHAP_mean_elbow_lmethod_comprehensiveness,EXAI_LIME_SHAP_mean_elbow_lmethod_sufficiency,EXAI_LIME_SHAP_mean_elbow_lmethod_combined,EXAI_LIME_SHAP_mean_top_n_3_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_3_sufficiency,EXAI_LIME_SHAP_mean_top_n_3_combined,EXAI_LIME_SHAP_mean_top_n_5_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_5_sufficiency,EXAI_LIME_SHAP_mean_top_n_5_combined,EXAI_LIME_SHAP_mean_top_n_10_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_10_sufficiency,EXAI_LIME_SHAP_mean_top_n_10_combined,EXAI_LIME_SHAP_mean_top_n_20_comprehensiveness,EXAI_LIME_SHAP_mean_top_n_20_sufficiency,EXAI_LIME_SHAP_mean_top_n_20_combined,EXAI_LIME_SHAP_mean_threshold_0.1_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.1_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.1_combined,EXAI_LIME_SHAP_mean_threshold_0.3_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.3_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.3_combined,EXAI_LIME_SHAP_mean_threshold_0.5_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.5_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.5_combined,EXAI_LIME_SHAP_mean_threshold_0.7_comprehensiveness,EXAI_LIME_SHAP_mean_threshold_0.7_sufficiency,EXAI_LIME_SHAP_mean_threshold_0.7_combined,nb_selected_tokens_elbow_simple-lmethod,nb_selected_tokens_elbow_kneedle,nb_selected_tokens_elbow_dfdt,nb_selected_tokens_elbow_lmethod,nb_selected_tokens_top_n_3,nb_selected_tokens_top_n_5,nb_selected_tokens_top_n_10,nb_selected_tokens_top_n_20,nb_selected_tokens_threshold_0.1,nb_selected_tokens_threshold_0.3,nb_selected_tokens_threshold_0.5,nb_selected_tokens_threshold_0.7,%_tokens_input_elbow_simple-lmethod,%_tokens_input_elbow_kneedle,%_tokens_input_elbow_dfdt,%_tokens_input_elbow_lmethod,%_tokens_input_top_n_3,%_tokens_input_top_n_5,%_tokens_input_top_n_10,%_tokens_input_top_n_20,%_tokens_input_threshold_0.1,%_tokens_input_threshold_0.3,%_tokens_input_threshold_0.5,%_tokens_input_threshold_0.7
: وصلنا لاقتصاد اسوء من سوريا والعراق ومن غير حربانجاز ده ولا مش انجاز يا متعلمين يا بتوع المدا…,Negative,"[[0, ':', -0.8786314595027085], [1, 'وصلنا', 0.10322065325328705], [2, 'لاقتصاد', 0.0037206358869634193], [3, 'اس', -0.04440645132888377], [4, '##وء', 0.8694474083246936], [5, 'من', -0.234869377107358], [6, 'سوريا', -0.43686967991764486], [7, 'والعراق', 0.011261903531462059], [8, 'ومن', -0.30640766727513224], [9, 'غير', -0.5150778952783857], [10, 'حربا', -0.92624420987566], [11, '##نج', -0.5348371595938098], [12, '##از', -0.7904661342101038], [13, 'ده', -0.26166878857864684], [14, 'ولا', 0.3119060741526921], [15, 'مش', 0.10507555045557382], [16, 'انجاز', -0.9634689081151149], [17, 'يا', 0.22849240598401815], [18, 'متعل', 0.6012710767998808], [19, '##مين', 0.09764045824249606], [20, 'يا', 0.014472051200169533], [21, 'بت', 0.20372888159225389], [22, '##وع', 0.32242914375599774], [23, 'المدا', -0.39212575771763114], [24, '…', -0.5830844022972191]]",0.0651784539222717,0.4958315789699554,0.2846734374761581,0.0213559865951538,0.2444720268249511,0.3884419798851013,0.8248247653245926,-0.003210961818695,0.9140178635716438,0.0651784539222717,0.4958315789699554,0.2846734374761581,0.0587124824523925,0.3114165067672729,0.3736479878425598,0.0227023959159851,0.0556702613830566,0.4835160672664642,0.2765824794769287,0.0402997732162475,0.6181413531303406,0.4535555243492126,-0.0008257627487182,0.7271906435489655,0.1336888074874878,0.0329017639160156,0.5503935217857361,0.0213559865951538,0.2444720268249511,0.3884419798851013,0.0651784539222717,0.4958315789699554,0.2846734374761581,0.0481209754943847,0.7570688128471375,0.1455260813236236,2,4,22,2,3,5,10,20,8,4,2,1,0.08,0.16,0.88,0.08,0.12,0.2,0.4,0.8,0.32,0.16,0.08,0.04
كاني ويست، دريك، نيكي، بيونسيه، قاقا,Neutral,"[[0, 'كان', 0.7931105858528766], [1, '##ي', -1.0], [2, 'ويست', 0.9337048295476171], [3, '،', 0.6453683040906845], [4, 'دري', -0.3634505331405343], [5, '##ك', -0.5537744925353947], [6, '،', 0.2744235594617011], [7, 'نيكي', 0.9143337342548642], [8, '،', 0.37564783491844816], [9, 'بيون', 0.1627100077831084], [10, '##سيه', -0.6784775673372232], [11, '،', 0.3048061369950827], [12, 'قا', -0.5264200695025117], [13, '##قا', -0.4627484917921636]]",0.5743995010852814,-0.054017424583435,0.8142084628343582,0.5249544680118561,-0.0392208099365234,0.7820876389741898,0.3482759594917297,-0.1410642266273498,0.7446700930595398,0.485036551952362,-0.0480355024337768,0.7665360271930695,0.3482759594917297,-0.1410642266273498,0.7446700930595398,0.4298889636993408,-0.07381272315979,0.7518508434295654,0.6217188090085983,-0.0425193905830383,0.8321190997958183,0.3262477815151214,0.0,0.6631238907575607,0.5743995010852814,-0.054017424583435,0.8142084628343582,0.485036551952362,-0.0480355024337768,0.7665360271930695,0.4129426777362823,-0.1092914342880249,0.7611170560121536,0.3482759594917297,-0.1410642266273498,0.7446700930595398,8,7,3,6,3,5,10,14,8,6,4,3,0.5714285714285714,0.5,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.7142857142857143,1.0,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.21428571428571427
على فكره شركة محترمه حداعطوني كيبل كهديه ويوم قتله انه شحنه بيكلفني اكثر من قيمته قال دش امازون واختار اي شي قيمته ٣٠ دولار,Negative,"[[0, 'على', 0.23785324940142527], [1, 'فكره', -0.8999607683502062], [2, 'شركة', -0.4513361464244735], [3, 'محترم', -0.9154305914707088], [4, '##ه', -0.5746477435277582], [5, 'حدا', 0.017595796699886035], [6, '##ع', -0.14250105267044072], [7, '##طون', 0.1937664125331468], [8, '##ي', -0.16038570663084228], [9, 'كيب', 0.05867578124068623], [10, '##ل', -0.047243125561976906], [11, 'كه', -0.39993934577895096], [12, '##ديه', -0.09064196337800307], [13, 'ويوم', 0.21440695239097374], [14, 'قتله', 0.6792529020502548], [15, 'انه', -0.18359727059451236], [16, 'شحن', -0.10283758835736057], [17, '##ه', -0.26108310105247207], [18, 'بيك', -0.08291081541313666], [19, '##لف', 0.31641539581678013], [20, '##ني', -0.008179002901037125], [21, 'اكثر', 0.033241263777902486], [22, 'من', 0.013096923255603521], [23, 'قيمته', 0.11977289802503877], [24, 'قال', -0.1098089106990911], [25, 'دش', -0.11904953166385812], [26, 'اما', -0.08138113651069406], [27, '##زون', -0.40390197051652416], [28, 'واختار', -0.31040336263080814], [29, 'اي', -0.41166766806903043], [30, 'شي', -0.42584206082038956], [31, 'قيمته', 0.02848617751625737], [32, '٣٠', -0.2026849694372383], [33, 'دولار', -0.018827516443404746]]",0.3061281740665436,-0.3282214403152466,0.8171748071908951,0.1651161015033722,-0.4695034623146057,0.817309781908989,0.4213042072951793,-0.2842581272125244,0.8527811672538519,-0.0389775931835174,-0.4536865353584289,0.7073544710874557,0.0771557688713073,-0.4748876094818115,0.7760216891765594,-0.0728029608726501,-0.46438729763031,0.69579216837883,0.1832995116710662,-0.4415756464004516,0.812437579035759,0.3127783238887787,-0.4195378422737121,0.8661580830812454,0.0944685935974121,-0.4899163842201233,0.7921924889087677,-0.0389775931835174,-0.4536865353584289,0.7073544710874557,-0.032599925994873,-0.3334837555885315,0.6504419147968292,0.0,0.3627519607543945,0.3186240196228027,32,7,30,2,3,5,10,20,6,2,1,0,0.9411764705882353,0.20588235294117646,0.8823529411764706,0.058823529411764705,0.08823529411764706,0.14705882352941177,0.29411764705882354,0.5882352941176471,0.17647058823529413,0.058823529411764705,0.029411764705882353,0.0
: المتعه افضل من الزواج لهتك اعراض عامة #الشيعهعبث باسم الاسلام,Negative,"[[0, ':', -0.9208790819694483], [1, 'المتع', -0.2765233668862376], [2, '##ه', 0.060152449095000726], [3, 'افضل', -0.5258659331927761], [4, 'من', -0.3060336020871769], [5, 'الزواج', -0.5364310233906571], [6, 'له', -0.06000557324851774], [7, '##تك', 0.45974514167138836], [8, 'اعراض', -0.20653798989598005], [9, 'عامة', -0.7019931819163269], [10, '#', -0.535015044264372], [11, 'الشيع', 0.008889009696805894], [12, '##ه', 0.42793411380067986], [13, '##عب', 0.06491306627709403], [14, '##ث', 0.1827259121698277], [15, 'باسم', 1.0], [16, 'الاسلام', 0.753463845708176]]",0.1924524307250976,0.007371962070465,0.5925402343273163,0.1924524307250976,0.007371962070465,0.5925402343273163,0.7039172053337097,0.0346526503562927,0.8346322774887085,0.109653890132904,0.0742290019989013,0.5177124440670013,0.2029261589050293,-0.0024046301841735,0.6026653945446014,0.1924524307250976,0.007371962070465,0.5925402343273163,0.7781375348567963,0.0054816603660583,0.886327937245369,0.8015349805355072,0.0,0.9007674902677536,0.1924524307250976,0.007371962070465,0.5925402343273163,0.109653890132904,0.0742290019989013,0.5177124440670013,0.0364551544189453,-0.0016525983810424,0.5190538763999939,0.0364551544189453,-0.0016525983810424,0.5190538763999939,5,5,8,4,3,5,10,17,5,4,2,2,0.29411764705882354,0.29411764705882354,0.47058823529411764,0.23529411764705882,0.17647058823529413,0.29411764705882354,0.5882352941176471,1.0,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.11764705882352941
القوات البرية السعودية والقوات الفرنسية الخاصة تؤديان التمرين المشترك «سانتول»,Neutral,"[[0, 'القوات', 0.47912458522946744], [1, 'البرية', -0.19267155359968147], [2, 'السعودية', 0.3523841170266142], [3, 'والقوات', -0.21969354928414597], [4, 'الفرنسية', 0.717917819674181], [5, 'الخاصة', -0.17148312357762152], [6, 'تؤدي', -0.512336583536869], [7, '##ان', -0.9667927450284801], [8, 'التمرين', 0.8655119355873955], [9, 'المشترك', 0.33839749345998216], [10, '«', 0.5932431624141665], [11, 'سانت', 0.5297457651100493], [12, '##ول', -0.2823440034350144], [13, '»', -0.6032803672867091]]",0.6530879735946655,0.0002676844596862,0.8264101445674896,0.0295842885971069,-0.0027947425842285,0.5161895155906677,0.6220365166664124,0.000497281551361,0.8107696175575256,0.0048868656158447,-0.0072559714317321,0.5060714185237885,-0.000714361667633,0.013785183429718,0.4927502274513244,0.0048868656158447,-0.0072559714317321,0.5060714185237885,0.5442653894424438,-0.0030800700187683,0.7736727297306061,0.4923204481601715,0.0,0.7461602240800858,0.0173771977424621,-0.0005224347114562,0.5089498162269592,0.0173771977424621,-0.0005224347114562,0.5089498162269592,0.0078052878379821,0.0005170106887817,0.5036441385746002,0.0016655325889587,0.0503806471824646,0.475642442703247,13,6,12,5,3,5,10,14,7,7,4,2,0.9285714285714286,0.42857142857142855,0.8571428571428571,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.7142857142857143,1.0,0.5,0.5,0.2857142857142857,0.14285714285714285
اي علمي هاشم الي عنده بيونسيه افضل وحده وهي اغانيها,Positive,"[[0, 'اي', -0.7195155547210483], [1, 'علمي', -0.935431196192866], [2, 'هاشم', -0.6895521132231961], [3, 'الي', -0.9059602228235946], [4, 'عنده', -0.5281618286295745], [5, 'بيون', -0.44536708244099293], [6, '##سيه', -0.4729003659032698], [7, 'افضل', 1.0], [8, 'وحده', -0.2986813973758465], [9, 'وهي', -0.5231756914193549], [10, 'اغا', -0.345957366851189], [11, '##نيها', -0.7182106233994995]]",0.2326183766126632,-0.1682527661323547,0.700435571372509,0.273286685347557,-0.2252905368804931,0.7492886111140251,0.3035019338130951,-0.2437976598739624,0.7736497968435287,0.2481766790151596,-0.2318588495254516,0.7400177642703056,0.273286685347557,-0.2252905368804931,0.7492886111140251,0.3050277084112167,-0.3299416899681091,0.8174846991896629,0.2512842416763305,-0.2043518424034118,0.7278180420398712,0.1674111783504486,0.0,0.5837055891752243,0.2326183766126632,-0.1682527661323547,0.700435571372509,0.2326183766126632,-0.1682527661323547,0.700435571372509,0.2326183766126632,-0.1682527661323547,0.700435571372509,0.2326183766126632,-0.1682527661323547,0.700435571372509,1,3,8,2,3,5,10,12,1,1,1,1,0.08333333333333333,0.25,0.6666666666666666,0.16666666666666666,0.25,0.4166666666666667,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
: يحرقون حلب ثم يبكون اليمن .. #أحقر_الناس,Negative,"[[0, ':', -0.9960459439992062], [1, 'يحرق', 1.0], [2, '##ون', -0.7173479508980481], [3, 'حلب', -0.4859969325920108], [4, 'ثم', -0.8101941113885415], [5, 'يب', -0.4408621123936759], [6, '##كون', -0.5377335277702255], [7, 'اليمن', -0.3583689137276507], [8, '.', -0.7407900957691282], [9, '.', -0.7448227767912154], [10, '#', -0.29545157483185613], [11, 'أحق', 0.21356161351760206], [12, '##ر', 0.0036090668765884626], [13, '_', -0.3244001064374609], [14, 'الناس', -0.4565373744804687]]",0.2170085906982422,0.0114007592201232,0.6028039157390594,0.2306479215621948,-0.0010868310928344,0.6158673763275146,0.783163458108902,-0.0138853788375854,0.8985244184732437,0.2170085906982422,0.0114007592201232,0.6028039157390594,0.2170085906982422,0.0114007592201232,0.6028039157390594,0.2585815787315368,-0.0048741698265075,0.6317278742790222,0.783163458108902,-0.0138853788375854,0.8985244184732437,0.8053568005561829,0.0,0.9026784002780914,0.2377969026565551,0.0530989170074462,0.5923489928245544,0.0440444946289062,0.0899723172187805,0.4770360887050628,0.0440444946289062,0.0899723172187805,0.4770360887050628,0.0440444946289062,0.0899723172187805,0.4770360887050628,3,4,10,3,3,5,10,15,2,1,1,1,0.2,0.26666666666666666,0.6666666666666666,0.2,0.2,0.3333333333333333,0.6666666666666666,1.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
اهيه الي مسويه اكونت غوتشي امس اتوقع!,Negative,"[[0, 'اه', 0.7558659436193154], [1, '##يه', -0.32918411109408374], [2, 'الي', 0.19958319875967123], [3, 'مس', -0.2561209302058103], [4, '##ويه', 0.13202161966200893], [5, 'اكون', -0.08244471279595256], [6, '##ت', 0.02667185419267115], [7, 'غوت', 0.11308621765673033], [8, '##شي', -0.39663295616761857], [9, 'امس', -0.5644270222265731], [10, 'اتوقع', -0.8627901031578135], [11, '!', 0.9501528195576145]]",0.0841472148895263,0.0397502183914184,0.522198498249054,0.2095157206058502,0.0248090028762817,0.5923533588647842,0.4158851206302643,-0.0306759476661682,0.7232805341482162,0.1658307313919067,-0.0488373041152954,0.6073340177536011,0.2095157206058502,0.0248090028762817,0.5923533588647842,0.2118650376796722,-0.1449355483055114,0.6784002929925919,0.4158851206302643,-0.0306759476661682,0.7232805341482162,0.3543240129947662,0.0,0.6771620064973831,0.2118650376796722,-0.1449355483055114,0.6784002929925919,0.0841472148895263,0.0397502183914184,0.522198498249054,0.0841472148895263,0.0397502183914184,0.522198498249054,0.0841472148895263,0.0397502183914184,0.522198498249054,2,3,10,4,3,5,10,12,5,2,2,2,0.16666666666666666,0.25,0.8333333333333334,0.3333333333333333,0.25,0.4166666666666667,0.8333333333333334,1.0,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666
راح يشلخونكم الساحر ميسي والمجنون سواريز ونيمار11ي ططططححححااااالللبب🐸🐸🐸🐸🐸🐸وبتشوف👈🐸🐸🐸🐸😂😂😂,Negative,"[[0, 'راح', -0.4068999630650118], [1, 'يش', -0.31984108175400433], [2, '##ل', -0.7360717238110597], [3, '##خون', 1.0], [4, '##كم', -0.41528446481278974], [5, 'الساحر', -0.8700662158124144], [6, 'ميسي', -0.9302241964800153], [7, 'والمج', 0.017031630800462716], [8, '##نون', -0.3411468257631483], [9, 'سواريز', -0.6244780824191104], [10, 'وني', -0.7564402267594588], [11, '##مار', -0.5168759870279696], [12, '##11', -0.6105638931296218], [13, '##ي', -0.5354292469723706], [14, '[UNK]', -0.8139766380274397]]",0.5481433272361755,-0.0404390692710876,0.7942911982536316,0.8460712283849716,-0.0321760177612304,0.939123623073101,0.5481433272361755,-0.0404390692710876,0.7942911982536316,0.5481433272361755,-0.0404390692710876,0.7942911982536316,0.8525706604123116,-0.0420948266983032,0.9473327435553074,0.8838056437671185,-0.0205437541007995,0.952174698933959,0.9198849853128196,0.0350608825683593,0.94241205137223,0.7754153609275818,0.0,0.8877076804637909,0.1779294610023498,-0.0177705287933349,0.5978499948978424,0.1779294610023498,-0.0177705287933349,0.5978499948978424,0.1779294610023498,-0.0177705287933349,0.5978499948978424,0.1779294610023498,-0.0177705287933349,0.5978499948978424,2,4,2,2,3,5,10,15,1,1,1,1,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.6666666666666666,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
"#القرموطي لـ""#المملكة"":حذاري من محاولة الحديث عن #مصر وموقفكم في مصلحة لـ #إسرائيل#السعودية…",Negative,"[[0, '#', -0.16759045220257346], [1, 'القرم', 0.28053192109793534], [2, '##وطي', 0.47601966966175224], [3, '[UNK]', -0.7548900413887887], [4, '""', -0.6343830684117002], [5, '#', -0.3680635397617169], [6, 'المملكة', -0.9522154861815112], [7, '""', -0.47008294242278476], [8, ':', -0.6967961145091299], [9, 'حذ', 0.39046887271615127], [10, '##اري', 0.2979645434386552], [11, 'من', -0.1384510074128209], [12, 'محاولة', -0.18719792756797765], [13, 'الحديث', -0.17149460848715176], [14, 'عن', -0.2603946341953522], [15, '#', -0.16344781541445558], [16, 'مصر', -0.2481594318703984], [17, 'وموقف', 0.032722889201655225], [18, '##كم', 0.1308189089563665], [19, 'في', -0.43468780380701283], [20, 'مصلحة', -0.2056928339150506], [21, '[UNK]', -0.5319593086443577], [22, '#', -0.19291732083577473], [23, 'إسرائيل', 0.8000943657949544], [24, '#', -0.23359871045594616], [25, 'السعودية', -0.16249142764168695], [26, '…', 0.06855268812217247]]",0.7320640087127686,-0.2020078301429748,0.9670359194278716,0.7306280359625816,-0.2011461853981018,0.9658871106803416,0.76317596482113,-0.1607763171195984,0.9619761409703642,0.692595861852169,-0.1533513665199279,0.9229736141860484,0.692595861852169,-0.1533513665199279,0.9229736141860484,0.7357965260744095,-0.1866189241409301,0.9612077251076698,0.7275089472532272,-0.2002086043357849,0.963858775794506,0.7596347499638796,-0.1861995458602905,0.9729171479120852,0.7326812706887722,-0.1909404397010803,0.9618108551949264,0.692595861852169,-0.1533513665199279,0.9229736141860484,0.1414675116539001,0.1298111081123352,0.5058282017707825,0.1414675116539001,0.1298111081123352,0.5058282017707825,8,9,22,3,3,5,10,20,6,3,1,1,0.2962962962962963,0.3333333333333333,0.8148148148148148,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.37037037037037035,0.7407407407407407,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.037037037037037035
